name,location,city,state,country,start date,end date,latitude,longtitude,advance rates,atDoorRates,All,Thu,Fri,Sat,Sun,site url,register now url,description
Naka-Kon,Overland Park Convention Center,Overland Park,KS,USA,2016-03-11,2016-03-13,38.928559,-94.655247,"$35 through Oct 1, 2015
$40 through Nov 21, 2015
$45 through Jan 30
$55 through Mar 5",All 3 days: $55," $55",,,,,https://naka-kon.com/,https://naka-kon.com/registration,"Naka-Kon is an Overland Park, Kansas based anime convention. We celebrate Japanese animation and the influence anime has had in the Midwest and around the globe by educating people from all walks of life in many diverse facets of popular and traditional Japanese culture.

Each year, Naka-Kon invites an array of voice actors and manga artists who host a variety of panels and events designed to educate and entertain both current anime enthusiasts and those who wish to learn more about the American otaku subculture. We also feature exciting panels by attendees and are introducing an interactive story event. Don't miss a moment of the fun!"
Anime Impulse,Fairplex Exposition Complex,Pomona,CA,USA,2016-01-16,2016-01-17,34.0812009,-117.7645007,"$30 through Dec 31, 2015",Both days: $40," $40",,,,,http://www.animeimpulse.com/,http://www.flavorus.com/event/AXVGT/wafform.aspx?_act=eventtickets&_pky=306403,"Anime Impulse is an exciting new project fusing the worlds of anime, manga, video games and other fascinating elements of Asian pop culture including K-Pop, street food and more! Hosted by the Queens of Cosplay, Alodia Gosiengfiao, Ashley Gosiengfiao, VAMPY BIT ME & Luna Lanie, and brought to you by the creators of the hugely successful Ktown Night Market and OC Block Party.

The event will feature appearances from celebrities and special guests, panels, VIP parties, vendors, artist alleys, an Itasha Car Show, delicious food and treats, and the cutest fashion live from our runway stage! Encompassing everything fun in Asia in one event!"
Seishun Con,Atlanta Marriott Perimeter Center,Atlanta,GA,USA,2016-02-05,2016-02-07,33.9173833,-84.3459757,$22.09 through Jan 22,,,,,,,http://seishun-con.com/,https://www.eventbrite.com/e/seishun-con-vi-tickets-17405568524,"We are an Atlanta-based convention focused on Japanese Anime, Manga and culture. With everything from fan-presented panels and industry guests to a buzzing Dealer's Room and all-night Dance you're sure to find something to capture your fancy. We pride ourselves on having a fun and inviting atmosphere, so whether you are brand new to the fandom or a seasoned veteran, you're always welcome at Seishun Con!

For 2016, we are hosting our event at the Atlanta Marriott Perimeter Center. We listened to our fans' feedback and selected this location for its ample parking, exceedingly friendly staff, and close proximity to both public transit and plenty of restaurants and shops! Located just across the street from the Dunwoody MARTA station and Perimeter Mall, you're sure to find everything you need within walking distance."
Setsucon,Toftrees Golf Resort & Conference Center,State College,PA,USA,2016-01-30,2016-01-31,40.8242021,-77.9011302,"$25 through Dec 4, 2015","Both days: $35
Sat: $25
Sun: $15"," $35",,," $25"," $15",http://www.setsucon.com/,http://www.setsucon.com/registration/,"Setsucon is an anime and Japanese culture convention catering the students of The Pennsylvania State University and the surrounding community. Since 2006, the Penn State Anime Organization (PSAO) has hosted Setsucon in addition to their weekly meetings, helping to bring anime, manga, and Japanese pop culture to the Central Pennsylvania area."
New Year's PartyCon,Holiday Inn Allentown-I-78 (Lehigh Valley),Breinigsville,PA,USA,2015-12-31,2016-01-01,40.5770562,-75.6258245,$35 through Dec 31,"Both days: $35
Thu: $25
Fri: $20"," $35"," $25"," $20",,,http://newyearspartycon.com/,,"PartyCon is half convention, half social meetup, and 100% rockin' New Years celebration! In addition to the New Years party essentials like live music, tasty food, drinks, and dancing, we've added tabletop gaming, video game tournaments, anime screenings, and of course, lots of cosplay. You'll also be able to meet comic artists, sci-fi authors, and buy awesome merchandise from dozens of vendors.

More than most geek gatherings, PartyCon emphasizes the social aspect of fandom. Maybe there's a new board game you're interested in, but you don't have anyone to play it with. Play a demo match in our game room! Maybe your RPG group has broken up and moved away. Make some new friends and plot a new campaign as the balloons drop! Maybe you're new to the area or it's been tough to find that special someone that gets you. Kindle a new romance at one of our speed dating sessions and dance the night away!

And PartyCon is family friendly, too. Mom and dad can't find a babysitter for the holiday? Bring the kids along and let their imaginations run wild! Whether it's Breakfast with the Superheroes or our Giant Nerf Battle, there will be plenty for them to do!"
Anime Mid-Atlantic,Chesapeake Conference Center,Chesapeake,VA,USA,2016-06-17,2016-06-19,36.789212,-76.232414,"$35 through Sep 15, 2015
$40 through Dec 31, 2015
$45 through May 31",,,,,,,http://animemidatlantic.com/,http://www.animemidatlantic.com/registration.html,"Anime Mid-Atlantic is an annual Japanese animation and culture convention held each year in Virginia.
Join us in June for industry guests, artistic and cultural forums, concerts and all of your favorite anime convention events."
Anime Matsuri,George R. Brown Convention Center,Houston,TX,USA,2016-02-26,2016-02-28,29.752237,-95.35812,"$47.60 through Jun 1, 2015",,,,,,,http://www.animematsuri.com/,http://www.eventbrite.com/e/anime-matsuri-x-tickets-16550781834?aff=erelexporg,"Anime Matsuri is an annual anime, Japanese culture and related arts convention hosted at the George R. Brown Convention Center in Houston, Texas.
Join thousands of fans and explore of over 1,500,000 sq feet of anime, panels, workshops, Special Guests, celebrities, Vendor/Exhibitor area, Artist Alley/showcase, live concerts, Japanese fashion Show, Cosplay Contests, Gaming, and over 500 hrs of programming including a Japanese car show!"
Anime Crossroads,Wyndham Indianapolis West,Indianapolis,IN,USA,2016-02-19,2016-02-21,39.728445,-86.258495,,,,,,,,http://animecrossroads.com/,,"The 7th annual Anime Crossroads anime convention will take place on February 19-21, 2016 at the Wyndham Indianapolis West in beautiful Indianapolis, Indiana! For three days we'll come together to celebrate our love for eastern animation, Japanese culture and music."
Anime Apocalypse,"Hyatt Regency Schaumburg, Chicago",Schaumburg,IL,USA,2016-01-22,2016-01-24,42.0522667,-88.0335615,,,,,,,,http://www.animeapocalypse.org/,http://www.animeapocalypse.org/register/,"Anime Apocalypse is an anime convention running four years strong that strives to bring the most fun filled and rewarding experience to everyone, from exhibit hall vendors and special guests to the fans and attendees that make hosting such an event all the more worthwhile."
Ahn!Con,Howard Johnson Plaza Kansas City Hotel and Conference Center,Kansas City,MO,USA,2016-01-08,2016-01-10,39.1374234,-94.5027181,"$35 through Oct 31, 2015
$40 through Dec 31, 2015","All 3 days: $45
Fri: $30
Sat: $35
Sun: $25"," $45",," $30"," $35"," $25",http://ahn-con.com/,http://ahn-con.com/registration/,"Ahn!Con is a yaoi centered convention located in Kansas City, Missouri, which was first held January 11-13, 2013, and has been held yearly since.
Attendees must be 18 or over to ensure we can have the best adult oriented yaoi experience possible."
Meta Con,Hyatt Regency Minneapolis,Minneapolis,MN,USA,2016-09-02,2016-09-04,44.970658,-93.277402,,,,,,,,http://metaconvention.com/,,"MetaCon is a massive entertainment expo filled with exhibitors, guest stars, interactive events, costuming, exhibitors, artists, entertainers, and beyond. We bring together thousands of geeks for a three-day celebration of geek culture and nerd life."
CONjure,Wyndham Orlando Resort International Drive,Orlando,FL,USA,2016-03-05,2016-03-06,28.4487643,-81.4695734,"$35 through Dec 31, 2015
$40 through Jan 31
$45 through Mar 4","Both days: $45
Sat: $25
Sun: $22"," $45",,," $25"," $22",http://www.conjureflorida.com/,http://www.conjureflorida.com/ticket-information/,"CONJure is a 2-day, fan-run, multi-genre convention, bringing together fans of sci-fi, fantasy, comic book, gaming, anime, cosplay, music, podcasting, art, and many other forms of entertainment and creativity. Join us for panels, special events, demos, workshops, Q&As, photo-ops, signings, and more!"
Kami-Con,Birmingham-Jefferson Convention Complex,Birmingham,AL,USA,2016-03-11,2016-03-13,33.525055,-86.811873,,,,,,,,http://kamicon.net/,,
AnniCon,Anniston City Meeting Center,Anniston,AL,USA,2016-02-06,2016-02-006,33.66564,-85.828843,,Free,Free,,,,,http://www.annicon.com/,http://www.annicon.com/register.html,"AnniCon is a free, one-day spring celebration of Japanese culture including art, music, costuming, manga, anime, food, history, and special guests.

AnniCon began in March 2011 as a mini-convention at the Public Library of Anniston-Calhoun County. Attendance quickly jumped from 50 to 125 necessitating a move from the Library to a larger location, the Anniston City Meeting Center, to accommodate larger audiences in April 2015. Last year was the first year it hosted the addition of vendors and artisans."
Shumatsucon,Sheraton Columbus Hotel at Capitol Square,Columbus,OH,USA,2016-03-11,2016-03-13,39.9597339,-82.9978409,$26.63,"All 3 days: $35
Fri: $15
Sat: $25
Sun: $10"," $35",," $15"," $25"," $10",http://www.shumatsucon.com/,http://www.shumatsucon.com/register,"Shumatsucon is an all-encompassing event which takes the very best parts of convention culture and brings them to you for a weekend-long experience, and what is arguably the best event we've ever put on! Granted, we've only put on one event before this, but we heard it was pretty alright, and I think it's safe to assume that we'll improve. At least a little.
With several incredible concerts, cosplay events, the friendliest guests, two EDM events, a full-size arcade, tabletop lounge, and so much more! Join us for the 3 dimensional fun! (That's our theme this year. 3D.)"
Zenkaikon,Lancaster County Convention Center,Lancaster,PA,USA,2016-04-01,2016-04-03,40.037343,-76.304826,"$40 through Aug 17, 2015
$45 through Nov 30, 2015
$50 through Feb 15
$60 through Mar 21","All 3 days: $60
Sat: $50
Sun: $25"," $60",,," $50"," $25",http://zenkaikon.com/,https://zenkaikon.com/registration,"Since 2006, Zenkaikon has been holding an annual celebration of anime, comics, games, science fiction, and fandom!

Join us for our tenth anniversary convention on April 1-3, 2016. The three day event will include panels, workshops, anime & live action screenings, concerts, cosplay, video gaming, tabletop gaming, LARP, AMVs, dances, vendors, artists, and more!

Zenkaikon is located at the Lancaster County Convention Center in Lancaster, PA, and only 90 minutes from Philadelphia and Baltimore! It is also accessible via public transportation."
Ninja-Con,Japanese American Cultural and Community Center,Los Angeles,CA,USA,2016-06-04,2016-06-004,34.047906,-118.241475,,,,,,,,http://ninja-conla.org/,http://ninja-con.com/register-now/,"Ninja-Con is your one stop action for anime and Asian media! Our convention welcomes independent artists to become immersed in the community we've come to build as cosplayers, gamers, and the unique. Annually returning to the Little Tokyo Arts District, in downtown Los Angeles, we invite industry guests, J-rockers, voice actors, and many more for one wholesome day of real geekdom!"
Anime Alpha / Alpha X,Denny Sandford Premier Center,Sioux Falls,SD,USA,2016-06-03,2016-06-05,43.5613252,-96.7516702,"$42.95 through Jan 31
$50+fees through Jun 5","Fri: $20
Sat: $30
Sun: $25",,," $20"," $30"," $25",http://www.animealphacon.com/,http://www.animealphacon.com/tickets/buy-tickets.html,"We're Sioux Fall's premier anime, comic, and video game expo. We are dedicated to holding a quality event celebrating all aspects of geek and pop culture with activities and programming the whole family can enjoy! 

So come check us out. Meet our guests. Show off your costume or test your skills in one of our many video game tournaments. There's sure to be something for everyone!"
Cos-Losseum,Crowne Plaza San Diego - Mission Valley,San Diego,CA,USA,2016-01-23,2016-01-24,32.760649,-117.183929,$20 through Jan 22,,,,,,,http://www.thecosplayinitiativellc.com/Anime-Convention-Comic-Book-Convention.html,http://www.Purplepass.com/cos-losseum,"Cos-Losseum is a small sci-fi, anime, and comic book convention that dreams big. Organized by Cosplay Initiative, LLC, Cos-Losseum 2016 will be held in San Diego, California.

Meet cosplayers and celebrities from all genres of fandom. Like Comicon, Cos-Losseum brings together amazing guests, events, and vendors, but our smaller scale means a stronger community and a more intimate setting. You'll be able to make new friends and bond with other fans during an unforgettable weekend."
Florida FandoMania,Havert L. Fenn Center,Fort Pierce,FL,USA,2016-06-17,2016-06-19,27.4262202,-80.3454978,"$32.64 through Jan 6
$37.92 through Apr 6
$48.47 through Jun 19",,,,,,,http://www.floridafandomania.com/,https://www.eventbrite.com/e/florida-fandomania-tickets-19760071907,"Florida FandoMania is an annual convention that celebrates you, the fans, and the shows, movies, music, anime and games that you love. If you have ever played a video game or watched a movie and wanted to know more about the story, the characters in it and the people who created them, then you are not just a fan, but part of a fandom!
 
Florida FandoMania, gets it, and we're all about providing what the fans want: MORE! You'll get more opportunities to connect with each other, more guests in more genres, and more ways to interact with the stories and music that made you a fan to start with."
Yaoi-Con,Hyatt Regency San Francisco Airport,Burlingame,CA,USA,2016-09-16,2016-09-18,37.593742,-122.364875,,,,,,,,http://www.yaoicon.com/,,"YaoiCon is a one-of-a-kind 18+ convention for fans of all things yaoi. Founded in 2001, YaoiCon has been delighting attendees since with unique programming and a fan-centric atmosphere."
Otakon Vegas,Planet Hollywood Resort and Casino,Las Vegas,NV,USA,2016-01-15,2016-01-17,36.108462,-115.170407,$60 through Jan 16,"All 3 days: $65
Fri: $45
Sat: $45
Sun: $45"," $65",," $45"," $45"," $45",http://otakonvegas.com/,http://otakonvegas.com/reg_intro.asp,"Otakon Vegas is the west coast event from the people behind Otakon, one of North America's largest celebrations of anime and East Asian popular culture.

Started in 2014, Otakon Vegas will be returning for our third year at the Planet Hollywood Resort & Casino, location right in the middle of the Las Vegas Strip!"
Nerd & Tie Expo,The Plaza Hotel and Suites,Eau Claire,WI,USA,2016-09-23,2016-09-25,44.7942349,-91.520037,$30 through Aug 28,All 3 days: $40," $40",,,,,http://expo.nerdandtie.com/,http://expo.nerdandtie.com/attendees/,"The Nerd & Tie Expo aims to be the Chippewa Valley's cornerstone geek event. Celebrating science fiction, anime, comics, webcomics, tabletop games, and video gaming, it's three days of condensed awesomeness. Run by the minds behind Nerd & Tie, the midwest's best source for geek and convention news."
JAFAX,Amway Grand Plaza Hotel & DeVos Place,Grand Rapids,MI,USA,2016-06-24,2016-06-26,42.9673003,-85.6744186,"$37.50 through Dec 31, 2015
$42.50 through May 24","All 3 days: $45
Fri: $20
Sat: $25
Sun: $20"," $45",," $20"," $25"," $20",http://www.jafax.org/,http://www.jafax.org/forum/index.php?topic=4607.0,"Welcome to JAFAX 2.0: Reboot!

JAFAX stands for Japanese Animation, Film & Art eXpo. Previous attendees and newcomers alike will enjoy panels, viewings, artists, vendors, popular guests, video and board games, contests and learning more about Japanese visual culture as we ""reboot"" JAFAX into a new type of event for 2016.
By moving to downtown Grand Rapids, JAFAX is able to provide a three day, 24 hour event. We hope you will join us in our new endeavor!"
Kraken Con Spring,Oakland Convention Center,Oakland,CA,USA,2016-04-23,2016-04-24,37.8023123,-122.2738505,$30 through Apr 1,"Both days: $40
Sat: $25
Sun: $20"," $40",,," $25"," $20",http://www.krakencon.com/,http://www.krakencon.com/registration/attendee-registration/,"Kraken Con is a two day convention being held April 23-24th, 2016 in the Oakland Convention Center which features anime, cartoons and comics with a heavy emphasis on whimsy, imagination and the creative process. Our goal is to ensure attendees have an enjoyable experience via great panels, cool guests, fun events and awesome merchandise."
Queen City Kamikaze,Manchester Memorial High School,Manchester,NH,USA,2016-03-12,2016-03-12,42.967148,-71.434329,,$10,$10,,,,,http://queencitykamikaze.com/,,"The Queen City Kamikaze is an annual Nerd meetup in Manchester, NH. Every year, on a Saturday in February (and sometimes March), a one day event brings anime, video game, comic book, cosplay, sci fi, and fantasy fans together. Held at Manchester Memorial High School and open to ALL geeks, QCK is an easily accessible and affordable alternative to many of the larger conventions available in the year. Kicking off the New England convention year, this is a great warm-up to Anime Boston and a place to find what will be coming from the other regional conventions later in the year. Cosplay events, video game tournaments, and a dance hall run alongside tons of artists, vendors, and retro gaming systems available to play. Just a few minutes off of 93 we have plenty of free parking and numerous shopping and eating establishments nearby."
AniMore,Hyatt Regency Baltimore,Baltimore,MD,USA,2016-01-22,2016-01-24,39.2849393,-76.6137492,"$25 through Jul 30, 2015
$28 through Aug 30, 2015
$30 through Oct 30, 2015
$35 through Nov 30, 2015
$40",,,,,,,http://www.animorecon.com/,http://www.animorecon.com/register,"Three days of cosplay, exhibitors, music, anime, gaming, and more. AniMore will be a fan-centric convention with fans getting the opportunity to cosplay, meet voice actors and other famous guests, and have a great time in the celebration of the love of anime, video games, and Japanese culture."
Kin-Yoobi Con,Newark Pavilion,Newark,CA,USA,2016-08-07,2016-08-007,37.5332098,-122.0325953,$12 through Jul 31,$15,$15,,,,,http://iie540.wix.com/kinyoobicon2016,http://iie540.wix.com/kinyoobicon2016#!registration/cjg9,"Kin-Yoobi Con is a convention focusing on showcasing and sharing our interests, gaming and anime, with our community; learning more about these interests from ourselves and the fan community; and growing from these interests so that we can use them constructively.

The convention is about sharing our passions with each other and using them as an artform for positive change. It's about having fun and learning along the way. That's who we are. And that's who we always will be."
SwampCon,"University of Florida, J. Wayne Reitz Student Union",Gainesville,FL,USA,2016-02-13,2016-02-14,29.64585,-82.347746,,Both days: Free," Free",,,,,http://swampcon.com/,,"SwampCon is a multi-genre convention for all ages hosted at the University of Florida and held in the Student Reitz Union. For four years, University of Florida students, representing several student organizations, organized the annual convention. SwampCon is a free convention featuring a combination of Anime, Gaming, and Sci-Fi themed events. This year, the fifth year, SwampCon and its staff will continue to provide exceptional entertainment for fans and first-time attendees alike.

First started in 2011 by the UF Delta Nu Delta Tabletop Gaming Club, Gator Anime Club and Science Fiction Consortium, SwampCon has tripled its attendance over the years. Every year, SwampCon has strived to grow and evolve its programming to better provide a fun and enjoyable atmosphere for all of its attendees."
Colossalcon,Kalahari Resort and Convention Center,Sandusky,OH,USA,2016-06-02,2016-06-05,41.38444,-82.6421,,,,,,,,http://colossalcon.com/,http://colossalcon.com/index.php?page_id=5,"Colossalcon is a Japanese animation convention held in Northern Ohio during the beginning of June each year, and prides itself with being the region's kick-off to the start of summer vacation. Our location, the Kalahari Resort and Convention Center in Sandusky, Ohio, is a unique location, which offers a large convention center, plenty of accommodations and dining options, and the largest indoor waterpark in the country. Only minutes away from Cedar Point, Mills Creek Golf Course and historic downtown Sandusky, as well as an easy drive to Put-in-Bay and downtown Cleveland, Colossalcon is a premier beginning of summer destination."
OMG!con,Owensboro Convention Center,Owensboro,KY,USA,2016-06-10,2016-06-12,37.775139,-87.116464,"$31.74 through Sep 4, 2015
$36.87 through Dec 31, 2015
$41.99 through Mar 15
$47.12 through May 28","All 3 days: $50
Fri: $25
Sat: $30
Sun: $20"," $50",," $25"," $30"," $20",http://www.omgcon.com/,http://www.omgcon.com/Registration/registration.html,"OMGcon is an annual event that brings together anime, video games, tabletop and pop culture for a weekend of fun and excitement. 

There are special guests (such as voice actors and artists), dealers (for getting those hard-to-get merchandise), events (like cosplay and video game tournaments.) And so much more!"
Taiyou Con,Mesa Convention Center,Mesa,AZ,USA,2016-01-15,2016-01-17,33.418699,-111.829802,$40 through Jan 11,"All 3 days: $45
Fri: $30
Sat: $30
Sun: $25"," $45",," $30"," $30"," $25",http://www.taiyoucon.com/,http://www.taiyoucon.com/registration/purchase-a-badge/,"Taiyou Con is a three-day convention celebrating anime, manga, video games, and other aspects of Japanese culture. Taiyou Con promises enjoyable programming, great guests, and a good time! Taiyou Con is dedicated to bringing Arizona anime fans convention staples such as the masquerade and dances as well as new and original events! We're also hard at work inviting guests you've requested to make your dreams of meeting your favorite voice actor, artist, or cosplay extraordinaire to life."
Anime Central,Hyatt Regency O'Hare / Donald E. Stephens Convention Center,Rosemont,IL,USA,2016-05-20,2016-05-22,41.980673,-87.859903,,,,,,,,http://acen.org/,,"Anime Central (ACen) is Chicago's and the Midwest's largest anime, manga and Japanese popular culture convention. The convention is currently held in Rosemont, IL, less than 30 minutes from downtown Chicago.

As part of its mission, ACen brings fans together with guests from the Japanese and US sectors of the anime and manga industry, as well as gaming, cinema, and Asian culture personalities. The event includes a huge exhibit hall, a massive video game room, concerts, dances, educational panels and workshops, premiere screenings, autograph sessions, 24-hour video rooms, tabletop gaming and much, much more!"
Tatsu-Con,Buffalo Niagara Convention Center,Buffalo,NY,USA,2016-07-29,2016-07-31,43.085658,-79.060299,$31.74 through Jul 15,"All 3 days: $35
Fri: $15
Sat: $25
Sun: $15"," $35",," $15"," $25"," $15",http://www.tatsu-con.com/,http://www.tatsu-con.com/tickets.html,"Tatsu-Con is an exciting and unique multi-genre convention based on creativity and imagination. At Tatsu-Con you will find anime, table gaming, video gaming, live action gaming, steampunk, pop culture, cosplay, screenings, celebrity guests, entertainment, panels, workshops, unique shopping and all kinds of other fun geekery! Don't forget that this year's theme is villains! So watch for additional villainous, scandalous mischievous plottings to take over the world throughout the weekend."
Collective Con,Jacksonville Fairgrounds,Jacksonville,FL,USA,2016-04-01,2016-04-03,30.3273411,-81.6414787,,,,,,,,http://www.collectivecon.com/,http://www.collectivecon.com/tickets.html,"Biggest convention in North Florida returns! Media Guests - Comics - Video Games - Music + More!

Daily tournaments, costume contests, prizes and more! Come out and share our event with your friends."
Fan Expo Dallas,Dallas Convention Center,Dallas,TX,USA,2016-06-03,2016-06-05,32.774754,-96.799185,,,,,,,,http://fanexpodallas.com/,http://fanexpodallas.com/tickets/,"FAN EXPO Dallas is the largest comics, sci-fi, horror, anime, and gaming event in Texas, quickly growing into one of the largest events in North America. It is packed with exciting family-friendly activities and celebrity guests! The pop culture extravaganza is host to tens of thousands of fans at the Dallas Convention Center for the three-day event every Spring."
Mizuumi-Con,Our Lady of the Lake University,San Antonio,TX,USA,2016-04-02,2016-04-03,29.425039,-98.545362,$15,,,,,,,http://www.mizuumicon.org/,,"The Mizuumi Anime Club is proud to announce: Mizuumi Con 9: The Final Chapter!

Mizuumi Con 9 will be taking place at Our Lady of the Lake University, on April 2-3, 2016! 

That's right! For the first time in Mizuumi Con history, the convention will be two days!"
Animatic Con,Holiday Inn and Suites Cincinnati Eastgate,Cincinnati,OH,USA,2016-04-29,2016-05-01,39.0997457,-84.2752465,"$26.62 (first 996)
$31.74 through Jan 1",All 3 days: $35," $35",,,,,http://www.animaticcon.com/,https://animaticcon.wordpress.com/buy-a-badge/,"The term Animatic refers to a version of a concept that is produced by shooting successive sections of a storyboard together and adding a soundtrack to use as a presentation, this happens often in the movie/voice over industry. Much like the television shows we see on television, everyone of them started with a concept. This is our concept.

Animatic Con started in March of 2015 with the idea to deliver to the fandom's across the states a convention that was not only fun but would have a higher purpose. After much consideration and discussions we decided that we wanted to help raise funds for Ohio children with Autism to be able to attend an amazing event held yearly in Florida called the Ethan Camp Coast kids surf event. We contacted The Make-It-Fit Foundation out of Columbus Ohio and explained how we wanted to help. They put us in contact with Autism Rocks out of Cincinnati, Ohio and it was agreed that a percentage of profits raised will be split between the two organizations to send kids with autism to the Surfers for Autism events each year.
 
Our theme for this convention is focused heavily on Anime and Comics."
All-Con Dallas,Westin Dallas Park Central,Dallas,TX,USA,2016-03-17,2016-03-20,32.921886,-96.7720282,"$50.81 through Dec 31, 2015","All 4 days: $55
Thu: Free
Fri: $35
Sat: $35
Sun: $20"," $55"," Free"," $35"," $35"," $20",http://all-con.org/,http://all-con.org/shop.html,"True to its name ""All-Con"" is the multimedia event that unites fans from diverse interest communities under one roof, for four exhausting days that are just plain fun. Fans of science fiction, art, costuming/cosplay, literature, collectibles, Asian ball jointed dolls, roller derby, maid culture, anime, short films, Otaku, burlesque, games, celebrity guests, contests, pageants, discussion panels, workshops, and performances will have their whole weekend filled at the single event."
Mini-Mini Con,Wonderland of The Americas,San Antonio,TX,USA,2016-05-14,2016-05-14,29.4929885,-98.552308,,Free,Free,,,,,http://miniminicon.com/,,We are a FREE Anime Convention in cooperation with San Japan and Nine Tails.
Fan World,The Conference & Event Center Niagara Falls,Niagara Falls,NY,USA,2016-08-26,2016-08-28,43.0762799,-78.9453723,,,,,,,,http://www.fanworld.us/,,"Ever attend a large fan event in TWO countries at once? Enjoy big guests, fun events, some of the greatest cosplay photography in the world, and the sights worthy of anyone's bucket list!

We strive to be the largest gaming (tabletop AND video gaming) event in the area, as well as one of the largest animation/anime and comics spectacles around! From fantasy to sci-fi, cosplay to steampunk (visit Tesla's statue!): Fan World will bring something for every fan, at one of the world's greatest tourist venues!
Fan World runs 3 days simultaneously in 2 countries, for 1 low, all-inclusive price! 3. 2. 1. Fan World!

Our venues also share Canada's largest indoor water park, amazing 24-hour casinos on both sides, the 175 foot tall Ferris Wheel overlooking the Falls (with laser lights and fireworks), dinosaur mini-golf (with large, active volcano!), an aviary, Japanese gardens, museums, nightclubs, and much more - all within a TEN MINUTE WALK to travel between the U.S and Canadian venues over the Falls!"
Animé Los Angeles,Ontario Convention Center,Ontario,CA,USA,2017-01-27,2017-01-29,34.065143,-117.606642,,,,,,,,http://animelosangeles.org/,,
EvilleCon,Old National Bank Events Plaza,Evansville,IN,USA,2016-03-18,2016-03-20,37.972229,-87.565584,$30,All 3 days: $45," $45",,,,,http://www.evillecon.com/,http://www.evillecon.com/badges/,"EvilleCon is an anime convention made by anime fans for fans! EvilleCon has events for teens, young adults, parents, and even the little fans! We have anime and gaming events all weekend long. Come join in the fun in 2016!"
Hero Hype,Miami Airport Convention Center,Miami,FL,USA,2016-03-26,2016-03-26,25.7785065,-80.3108498,,,,,,,,http://herohype.com/,http://herohype.com/shop.html,"The Hero Hype Convention is an all new style and type of event featuring gaming, comics, anime, manga, collectibles, vendors and more."
FanimeCon,San Jose McEnery Convention Center,San Jose,CA,USA,2016-05-27,2016-05-30,37.329065,-121.888858,,,,,,,,http://www.fanime.com/,,"FanimeCon is brought together by a group of hard working fans. These fans come together every year to create a new convention to share with others with similar tastes. From the staffers and volunteers to the attendees, the passion for anime and Japanese culture brings them closer."
Shikacon,Holiday Inn Bristol Conference Center,Bristol,TN,USA,2016-04-30,2016-05-01,36.6278893,-82.1306582,$21.49 through Apr 23,,,,,,,http://shikacon.com/,http://shikacon.com/registration/,"We've travelled from the year 19xx; the home of giant robots, ESPers, aliens, and androids; to bring you Shikacon 2.0: Electric Boogaloo. Come join your friends as we fight for the future!"
Anime Boston,Hynes Convention Center,Boston,MA,USA,2020-04-10,2020-04-12,42.347505,-71.084638,,,,,,,,http://animeboston.com/,,
AnimeFest,Sheraton Dallas Downtown Hotel,Dallas,TX,USA,2016-08-12,2016-08-15,32.785006,-96.794776,,,,,,,,http://animefest.org/,,"AnimeFest is a non-profit organization for fans of Japanese Animation. We unite fans from around the country in our common interest and gather at our annual convention in Dallas, TX for the purpose of meeting fellow fans, viewing new anime, buying & trading merchandise, and just reveling in all that is anime."
Anime Boston,Hynes Convention Center,Boston,MA,USA,2018-03-30,2018-04-01,42.347505,-71.084638,,,,,,,,http://animeboston.com/,,
Anime St. Louis,St. Charles Convention Center,St. Charles,MO,USA,2016-05-13,2016-05-15,38.7696461,-90.5037874,"$45 through Dec 31, 2015
$50 through Apr 17","All 3 days: $55
Fri: $35
Sat: $45
Sun: $25"," $55",," $35"," $45"," $25",http://animestl.net/,http://animestl.net/registrations/astl-2016-reg/,"Year 11 at the St. Charles Convention Center

We also run Midwest Costume Academy and Pixelpop Festival."
Anime Milwaukee,Hyatt Regency Milwaukee / Wisconsin Center,Milwaukee,WI,USA,2016-03-11,2016-03-13,43.040105,-87.916433,$30 on roadshow; $35 through Sep 30; $40 through Jan 31,$45 weekend; $35 Fri; $40 Sat; $30 Sun,$45 weekend; $35 Fri; $40 Sat; $30 Sun,,,,,http://animemilwaukee.com/,,"Anime Milwaukee in Wisconsin's Largest Anime Convention, with 3-days of exciting and fun, with 24-hour Video Gaming, TableTop Gaming, and Video Programming. Stop by Anime Milwaukee's very own Maid Cafe, Trainers Rendezvous (Pokemon Themed Room), Cosplay combat chess and more!"
Realms Con,American Bank Center,Corpus Christi,TX,USA,2016-09-30,2016-10-02,27.808594,-97.393863,,,,,,,,http://realmscon.com/,,"Realms Con is a three-day, multimedia convention held annually in Corpus Christi, Texas. If you love anime, gaming, horror, comic books and having a fun time, this is the convention for you! Realms Con will take place at the American Bank Center September 30 - October 2, 2016."
BotCon,Galt House Hotel,Louisville,KY,USA,2016-04-07,2016-04-10,38.2580012,-85.7573969,,"Sat: $25
Sun: $25",,,," $25"," $25",http://botcon.com/,http://www.botcon.com/BotCon2016/bc16genadm.cfm,"Join us in Louisville, KY, April 7-10, for BotCon® 2016 at the Galt House Hotel! This official Hasbro sponsored celebration will be a fantastic time full of TRANSFORMERS® fun, friends, celebrities and 'bots!"
