name,eventVenue,eventCity,eventState,eventCountry,eventStartDate,eventEndDate,latitude,longitude,advanceRates,atDoorRates,siteURL,registerURL,description,eventType
Anime Overload,Austin Marriott North,Round Rock,TX,USA,2016-08-05,2016-08-07,30.4832766,-97.688197,"
$32.64 through Mar 11
$35 + fees through May 27
$40 + fees through Jul 8
$42 + fees through Jul 22","
All 3 days: $45
Fri: $30
Sat: $35
Sun: $25",http://www.anime-overload.com/,http://animeoverload.net/registration-2,"Anime Overload is a Japanese animation and pop-culture convention, traditionally held annually during the summer in Austin, Texas. We pride ourselves in bringing together the most amazing anime and pop-culture fans and guests to enjoy our events, panels, workshops, vendors and artists. We are proud to be fan-run and fan-done, and always put the community first to make sure we host the most successful convention possible. Anime Overload operates as a subsidiary of Riot Entertainment, LLC.",Anime
Anime Revolution,Vancouver Convention Centre,Vancouver,BC,Canada,2016-08-05,2016-08-07,49.28911,-123.116055,"
$57.50","
All 3 days: $75
Fri: $55
Sat: $60
Sun: $50",http://www.animerevolution.ca/,https://tickets.animerevolution.ca/,"Anime Revolution is an annual Anime Convention held in Vancouver, British Columbia, Canada. Aiming to spread love and appreciation for Anime and Japanese Culture, we celebrate and partake in cultural exchange over three fun-filled days of activities, exhibits, panels, and performances. These include art, animation, comics, contests, costuming, cultural displays, dance, gaming, musical performances, and much more. This exciting annual event is held at the Vancouver Convention Centre!",Anime
Animethon,"MacEwan University, City Centre Campus",Edmonton,AB,Canada,2016-08-05,2016-08-07,53.5469377,-113.5052444,"
$45 through Jun 30","
All 3 days: $55
Fri: $35
Sat: $35
Sun: $25",http://www.animethon.org/,http://animethon.org/index.php?293-registration,"Animethon is the longest running Japanese anime convention in Canada. This summer will be our 23 year on August 5-7, 2016. We have a wide variety of international guests, ranging from Japanese music artists, cosplay guests, voice actors, and more! We have over 100 different programming over the weekend, including masquarade ball, dance, maid cafe, orchestra, video gaming, etc. Kids 12 and under are free to attend if accompanied by a parent or guardian.",Anime
Fandemonium,Grove Hotel,Boise,ID,USA,2016-08-05,2016-08-07,43.613926,-116.203605,,,http://fandemonium.org/,http://fandemonium.org/www3/index.php/attending/registration,"Fandemonium is made of community driven content and volunteers who are Fans just like YOU. We're focused on moving forward, testing new ideas, and revolutionizing Fan Events in Idaho. But, most of all, we want to provide a fun, safe environment for Fans to learn new things and celebrate what they love: we are ""FOR THE FANS, BY THE FANS"", and proud of it!",Anime
GoDaikoCon,Auburn Hills Marriott Pontiac at Centerpoint,Pontiac,MI,USA,2016-08-05,2016-08-07,42.60609,-83.250736,"
$32.64 through May 31","
All 3 days: $45
Fri: $30
Sat: $35
Sun: $25",http://godaikocon.com/,http://godaikocon.com/register/con-registration,"The anime con of the Great Lakes in Pontiac Michigan. We have table top gaming, video gaming, masquerade, maid cafe, dance, dealer room, artist alley and many more activities. We love anime fans.",Anime
Otakuthon,Palais des congrès de Montréal,Montréal,QC,Canada,2016-08-05,2016-08-07,45.504847,-73.559958,"
$45 through May 31
$50 through Jul 16","
All 3 days: $55
Fri: $35
Sat: $45
Sun: $35",http://otakuthon.com/,https://yurika.otakuthon.com/reg/en/index,"Otakuthon is Quebec's largest festival celebrating Japanese animation (anime), graphic novels (manga), gaming, and pop culture. 

Otakuthon offers a wide range of programming, exhibits, and other events. Otakuthon's programming consists of cosplay events, a masquerade, vendors, an Artists' Area, panels and workshops, game shows, anime video screenings, dances, karaoke, and music concerts. 

The first of its kind in Montreal, Otakuthon is a full-fledged, fan-run, bilingual anime convention that features a number of special guests as well as many activities and events spotlighting anime, manga, video games, artwork, and Japanese culture.",Anime
Mega GAM Con,Microtel Inn & Suites by Wyndham Naples Vernal,Naples,UT,USA,2016-08-06,2016-08-006,40.4401731,-109.4987839,"
$20 through Aug 4
$30 through Aug 6","
$30",http://gam.rocks/,http://gam.rocks/article.php?story=2016032301560416,"What is G.A.M.? It is a gaming convention and so much more! Our fun event is a gathering place for fans of video games, card games, anime, music, costumes, and Japanese pop culture! It's high up in the Rocky Mountains in a city called Naples located in Utah. Please join us for an excellent time!",Anime
Kin-Yoobi Con,Newark Pavilion,Newark,CA,USA,2016-08-07,2016-08-007,37.5332098,-122.0325953,"
$12 through Jul 31","
$15",http://iie540.wix.com/kinyoobicon2016,http://iie540.wix.com/kinyoobicon2016#!registration/cjg9,"Kin-Yoobi Con is a convention focusing on showcasing and sharing our interests, gaming and anime, with our community; learning more about these interests from ourselves and the fan community; and growing from these interests so that we can use them constructively.

The convention is about sharing our passions with each other and using them as an artform for positive change. It's about having fun and learning along the way. That's who we are. And that's who we always will be.",Anime
Otakon,Baltimore Convention Center,Baltimore,MD,USA,2016-08-12,2016-08-14,39.285411,-76.617397,"
$85
$95","
All 3 days: $100",http://otakon.com/,http://otakon.com/registration.asp,"Otakon is the convention of the otaku generation: by fans, for fans, and since 1999 we've reigned over much of Baltimore's Inner Harbor with a three day event celebrating the diverse pop culture that has given us everything from Attack on Titan to Yu Yu Hakusho, from Hidden Fortress to Howl's Moving Castle.",Anime
AnimeFest,Sheraton Dallas Downtown Hotel,Dallas,TX,USA,2016-08-12,2016-08-15,32.785006,-96.794776,,,http://animefest.org/,https://animefest.org/Purchase,"AnimeFest is a non-profit organization for fans of Japanese Animation. We unite fans from around the country in our common interest and gather at our annual convention in Dallas, TX for the purpose of meeting fellow fans, viewing new anime, buying & trading merchandise, and just reveling in all that is anime.",Anime
Animaine Bangor,Four Points by Sheraton Bangor Airport,Bangor,ME,USA,2016-08-13,2016-08-13,44.8085065,-68.8166048,"
$15",,http://www.animainebangor.org/,http://animaine.regfox.com/animaine-bangor,"Animaine Bangor is Bangor's first anime & gaming convention. We're bringing the party from our annual South Portland show to the beautiful Four Points by Sheraton at the Bangor International Airport. Guests, panels, vendors, anime, games - we're packing it all into a one day ""mini convention"" experience.",Anime
Anime Evolution,Sheraton Vancouver Wall Centre,Vancouver,BC,Canada,2016-08-19,2016-08-21,49.2800311,-123.1266629,"
$47.18 through Apr 8",,https://www.animeevolution.com/,https://www.animeevolution.com/registration/tickets/,"Anime Evolution is Vancouver's premier event celebrating Japanese animation, manga, gaming, and every kind of related fandom. Our featured activities include interactive panel discussions with industry guests, cultural demonstrations, 24-hour video rooms, cosplay contests, an AMV contest, a charity auction, evening dances, and creative workshops. We also offer LAN, tabletop, LARP, and console gaming rooms.

Anime Evolution's focus is entertainment, community and cultural diversity in a fun, family friendly, inclusive and accessible setting.",Anime
Delta H Con,Houston Marriott Westchase,Houston,TX,USA,2016-08-19,2016-08-21,29.734311,-95.550292,"
$35 through Aug 15","
All 3 days: $45
Fri: $35
Sat: $40
Sun: $25",http://deltahcon.com/,http://deltahcon.com/events/delta-h-con-2016/,"We are an eight year convention in the Houston area. You may ask ""Convention? What kind of Convention?"" Delta H Con is the budding flower of hobby Gaming enthusiasts and Anime aficionados in the southern United States. Games range from card games, to board games, role-playing games, live action role-playing games, miniatures, computer games and more. At Delta H Con you can challenge a friend or foe to a duel of wits in your favorite games. We offer a wide range of Anime programming. Voice Actors, Cosplay Guests, Maid and Cosplay shows Anime rooms showing an Anime selection that just might rival your own.",Anime
Liberty City Anime Con,Crowne Plaza Times Square Manhattan,New York,NY,USA,2016-08-19,2016-08-21,40.7606293,-73.9854817,"
$25 through Nov 10, 2015
$40 through Dec 20, 2015
$45 through Feb 20
$52 through May 20
$57 through Jun 20
$60 through Aug 21","
All 3 days: $60",http://libertycityanimecon.com/,http://libertycityanimecon.com/register,"Anime returns to New York City with the introduction of Liberty City Anime Con to Times Square. We are working to build one of the largest, best, and most fun fan-focused anime conventions in New York. Run by dedicated anime fans, we hope to create one of the largest, most successful events to ever hit the Big Apple.",Anime
Matsuricon,Hyatt Regency Columbus,Columbus,OH,USA,2016-08-19,2016-08-21,39.97014,-83.000615,"
$36 + fee through Dec 31, 2015
$43.02 through Mar 31
$48.14 through Aug 13","
All 3 days: $55
Fri: $35
Sat: $45
Sun: $25",http://matsuricon.org/,http://matsuricon.org/information/registration/,"Matsuricon is an annual Japanese pop-culture event that focuses primarily on Japanese animation (known as ""anime""), manga (Japanese graphic novels), and video games. We also showcase both American and Japanese popular culture, due to the natural overlap of fandom from both genres. Because of our ""family friendly"" image, our mascots are a ""traditional"" Japanese family consisting of a father, a mother, a son, a daughter, and a dog. Matsuricon's goal is to promote the cultural awareness of Japanese pop-culture through related events, special guest speakers and cultural presentations.",Anime
Mizucon,DoubleTree by Hilton Hotel Miami Airport & Convention Center,Miami,FL,USA,2016-08-19,2016-08-21,25.778552,-80.310429,"
$16.82 through Nov 28, 2015
$27.37 through Jan 25",,http://mizucon.com/,http://mizucon.com/registration/,"MizuCon returns for our 9th year at our beautiful location, the Miami Airport Convention Center and DoubleTree Hotel.",Anime
Sabakon,Alexis Park All Suite Resort,Las Vegas,NV,USA,2016-08-19,2016-08-21,36.1075454,-115.1572023,,,http://www.sabakon.com/,http://www.sabakon.com/#!attendees/cgys,"Sabakon is an annual anime, video gaming, and pop culture convention held in Las Vegas. It focuses on the celebration of Japanese animation, video games from around the world, and western popular culture. From exclusive screenings and voice actor meetings to unique panels and electrifying performances, there are many activities to experience at the con. Sabakon's core mission is to unite the community and improve its growth by creating a space where people can experience a relaxed social setting that incorporates aspects of pop culture for all to enjoy.",Anime
CoTiCon,Cornwall Civic Complex,Cornwall,ON,Canada,2016-08-20,2016-08-20,45.0148815,-74.7232961,"
$15","
$20",http://www.coticon.com/,http://www.coticon.com/registration.html,"Cornwall's first anime, comic, video gaming and geek culture convention: CoTiCon. It stands for Cornwall Tiny Con and is linked to Quinte Mini Con and FrostCon. 
CoTiCon is growing thanks to a successful first year, and we hope to improve it for future days.",Anime
Kantaicon,Omar Shrine Temple and USS Yorktown,Mount Pleasant,SC,USA,2016-08-20,2016-08-20,32.79033,-79.905426,,"
$20",http://kantaicon.com/,http://kantaicon.com/admission/,"Kantaicon is an anime convention that will be held at the Omar Shrine just down the street from the USS Yorktown. This year, we plan to have a beach meetup on Friday August 19th, events at the Omar Shrine on Saturday the 20th, and carrier day on Sunday the 21st aboard the USS Yorktown.",Anime
OtakuHoma Con,Will Roger Garden Exhibition,Oklahoma City,OK,USA,2016-08-20,2016-08-20,35.5065565,-97.5778508,"
$10 through Aug 16",,http://www.otakuhoma.com/,http://www.eventbrite.com/e/otakuhoma-con-2016-tickets-22539780089?ref=ebtn,"OtakuHoma hosts various anime-centric events in OKC throughout the year. OtakuHoma is more than a convention, its a community. Come to our events and hangout with people that share your interests! Good times for all!",Anime
Pensacola Comic Convention,Pensacola Interstate Fair Grounds Expo Hall,Pensacola,FL,USA,2016-08-20,2016-08-21,30.4727435,-87.3123386,"
$31.74 through Aug 19","
Sat: $20
Sun: $20",http://www.pensacolacomiccon.com/,http://www.pensacolacomiccon.com/buytickets.htm,"Pensacola Comic Convention for fans of science fiction, horror, fantasy, gaming, anime, costuming, fandom, indie films, artists, celebrity guests, comic books, video gaming, pop culture, voice actors, renaissance, cosplay, steampunk, theater, performing, writers, literature, publishing, arts, mystery, crafts, collecting, model construction, film making, paranormal, vendors, reality tv, and more! We will offer celebrity meet and greets, discussion panels, workshops, screenings, demonstrations, events, gaming, costume contests, tournaments, and competitions. A portion of the proceeds will benefit the Arc Gateway, EscaRosa Coalition on the Homeless, Inc., Making Stride with Breast Cancer, The Ronald McDonald House, and various local charities.",Anime
PopCult Anime Con,Sheraton Framingham Hotel & Conference Center,Framingham,MA,USA,2016-08-20,2016-08-21,42.2975177,-71.4805289,"
$35 through Aug 1","
Both days: $40
Sat: $25
Sun: $20",http://www.popcultanimecon.com/,http://www.popcultanimecon.com/registration,"Pop Cult Anime Con is a two day con held in Framingham Mass. 
2016 will be the first year PCAC will take place, but we will have a lot to offer!",Anime
AkaiCon,Sheraton Music City Hotel,Nashville,TN,USA,2016-08-26,2016-08-28,36.1444788,-86.683915,"
$31.74 through Feb 13
$36.87 through Aug 26","
All 3 days: $40",http://akaicon.com/,https://www.eventbrite.com/e/akai-shi-2016-tickets-18929009176,"AkaiCon is Nashville's new destination for fandom entertainment. We strive to offer an event for all ages, a safe place for all fans and an outlet to express all varieties of interests while giving back to the community through charity and volunteer effort. This year we highlight horror - come experience great theatrics, concerts, live shows, meet guests and artists in the industry and celebrate culture. Ladies and Gentlemen, dying time's here.",Anime
CampAnime,YMCA Camp Woodstock,Woodstock Valley,CT,USA,2016-08-26,2016-08-28,41.96935,-72.076262,,"
All 3 days: $40
Fri: $15
Sat: $20
Sun: $15",http://campanime.com/,http://www.campanime.com/online.html,"Get ready for panels, contests, game shows, dancing, karaoke, workshops, anime showings...plus outdoor activities like archery, boating, BB gun range, rock climbing wall & cosplay dodgeball. These are a few of the events that make CampAnime an indoor con with outdoor fun.

CampAnime is a family-friendly affair & we encourage parents to attend with their children. We offer parents a $5 weekend admission rate, a lodging/meal packages at close to 50% off plus panels aimed specifically for parents.",Anime
Fan World,The Conference & Event Center Niagara Falls,Niagara Falls,NY,USA,2016-08-26,2016-08-28,43.0762799,-78.9453723,,,http://www.fanworld.us/,,"Ever attend a large fan event in TWO countries at once? Enjoy big guests, fun events, some of the greatest cosplay photography in the world, and the sights worthy of anyone's bucket list!

We strive to be the largest gaming (tabletop AND video gaming) event in the area, as well as one of the largest animation/anime and comics spectacles around! From fantasy to sci-fi, cosplay to steampunk (visit Tesla's statue!): Fan World will bring something for every fan, at one of the world's greatest tourist venues!
Fan World runs 3 days simultaneously in 2 countries, for 1 low, all-inclusive price! 3. 2. 1. Fan World!

Our venues also share Canada's largest indoor water park, amazing 24-hour casinos on both sides, the 175 foot tall Ferris Wheel overlooking the Falls (with laser lights and fireworks), dinosaur mini-golf (with large, active volcano!), an aviary, Japanese gardens, museums, nightclubs, and much more - all within a TEN MINUTE WALK to travel between the U.S and Canadian venues over the Falls!",Anime
Geek.Kon,Madison Marriot West,Middleton,WI,USA,2016-08-26,2016-08-28,43.084567,-89.524026,"
$35 through Jul 31","
All 3 days: $45",http://geekkon.net/,http://www.geekkon.net/registration/,"Geek.Kon is Madison Wisconsin's very own anime convention, sci-fi convention, and gaming convention all rolled into one! As the name implies, Geek.Kon is a place to celebrate all that is geeky from strong foundations in anime, science fiction, video gaming, tabletop gaming, and costuming to up and coming fandoms like steampunk and gothic lolita. From Lord of the Rings to Doctor Who, Mario to Solid Snake, Geek.Kon covers it all.",Anime
Kentokyocon,Lexington Center,Lexington,KY,USA,2016-08-26,2016-08-28,38.0494021,-84.5035363,"
$36.87 through Aug 1","
All 3 days: $40
Fri: $25
Sat: $25
Sun: $25",http://kentokyocon.com/,https://www.eventbrite.com/e/kentokyocon-2016-tickets-20852837398,Lexington's Premiere Anime Convention returns for its fourth year and in a new location! We're now downtown at the Lexington Convention Center on August 26-28th!,Anime
Kita-Kon,Lakehead University,Thunder Bay,ON,Canada,2016-08-26,2016-08-28,48.420646,-89.260827,"
$25 through Jul 31
$30","
All 3 days: $30
Fri: $10
Sat: $20
Sun: $15",http://www.kita-kon.org/,http://www.kita-kon.org/registration/,"Kita-Kon is an annual Japanese animation & culture convention hosted in Thunder Bay, ON, Canada. It is organized by Lakehead Anime Society, a non-profit corporation.",Anime
OmegaCon,Holiday Inn Charlottesville-Univ Area,Charlottesville,VA,USA,2016-08-26,2016-08-28,38.0608649,-78.4942301,,,http://www.omegaconvention.com/,http://www.omegaconvention.com/register/,"OmegaCon is a gaming & anime convention held annually in Charlottesville, Virginia, and established in early 2013 by a partnership between The End Games and several private contributors. Our staff is 100% volunteer and we reinvest any money made into making a better con the next year.",Anime
SaikouCon,Split Rock Resort,Lake Harmony,PA,USA,2016-08-26,2016-08-28,41.0649774,-75.6201785,"
$30 through Apr 8
$35 through Aug 19","
All 3 days: $70
Fri: $30
Sat: $30
Sun: $20",http://www.saikoucon.com/,http://www.saikoucon.com/guest-registration.html,"SaikouCon, which means ""best convention"", is the large scale, annual anime convention of the Pocono Mountains. Boasting a dedicated staff of longtime Japanese anime and manga fans, SaikouCon is excited to be the only large scale annual convention dedicated exclusively to anime, manga, and Japanese culture and pop culture in this area of Northeast Pennsylvania. The convention grew out of the now defunct web magazine Anime Ate My Brain Magazine; the sibling to music focused web magazine, Tastes Like Rock! Music Magazine. Both journalistic endeavors fall under the publishing wing of Nerdy Rock 'n Roller Productions.

The convention will always feature some of the best live entertainment themed to Japanese culture as well as the best in J-Rock and J-Pop musical acts from all over the US and beyond. All of this plus top creators, writers, artists, distributors, industry insiders, English dub and original Japanese voice talent, some of the best cosplay talent, shows, masquerades; and so much more!",Anime
SakuraNatsu,Gainesville Garden Club,Gainesville,FL,USA,2016-08-27,2016-08-27,29.6652763,-82.4226613,,"
Free",http://sakuranatsu.webs.com/,,SakuraNatsu is a Gainesville based convention and festival created entirely by high school students. We are dedicated to bringing Japanese culture to our community and we hope you will join us in this venture.,Anime
FanExpo Canada,Metro Toronto Convention Centre,Toronto,ON,Canada,2016-09-01,2016-09-04,43.643777,-79.386982,,,http://fanexpocanada.com/,http://fanexpocanada.com/tickets/,"Considered by many to be the ""Comic Con"" of Canada, FAN EXPO Canada humbly began as the Canadian National Comic Book Expo in 1995.",Anime
Anime California,Long Beach Convention & Entertainment Center,Long Beach,CA,USA,2016-09-02,2016-09-04,33.7652123,-118.1899085,"
$35 through May 15
$40 through Jun 16
$45 through Jul 5
$50 through Jul 31
$55 through Aug 15
$60 through Aug 31",,http://animecalifornia.com/,https://animecalifornia.com/register,"Anime California will bring eSports and Anime fans together to celebrate Japanese culture, music, and animation. Join us to celebrate anime, professional gaming, music, and more. We'll be having Anime California at the Long Beach Convention Center from September 2 - 4, 2016. Come by to meet awesome voice actors, artists, and industry guests. Get free autographs from some awesome guests, many of whom are still to be announced.",Anime
Meta Con,Hyatt Regency Minneapolis,Minneapolis,MN,USA,2016-09-02,2016-09-04,44.970658,-93.277402,,,http://metaconvention.com/,,"MetaCon is a massive entertainment expo filled with exhibitors, guest stars, interactive events, costuming, exhibitors, artists, entertainers, and beyond. We bring together thousands of geeks for a three-day celebration of geek culture and nerd life.",Anime
Nan Desu Kan,Sheraton Denver Downtown Hotel,Denver,CO,USA,2016-09-02,2016-09-04,39.741815,-104.989868,"
$35 through Sep 15, 2015
$45 through Aug 1",,http://ndkdenver.org/,https://ndkdenver.org/events/2016-nan-desu-kan/,"Nan Desu Kan (a Japanese pun translating loosely to 'what is it?') began its life in 1997 at the Tivoli Student Union as a small, fan-run convention with just 200 or so attendees. These days, several hotels and more than a decade later, NDK is still a fan-run convention. And with a total weekend attendance of more than 21,000 (over 7,000 people per day), it's now the largest anime convention in Colorado and 14 surrounding states (excluding Texas).",Anime
SacAnime,Sacramento Convention Center,Sacramento,CA,USA,2016-09-02,2016-09-04,38.578676,-121.488941,"
$41 through Jul 3
$46 through Aug 14","
All 3 days: $50
Fri: $30
Sat: $45
Sun: $30",http://www.sacanime.com/,http://www.sacanime.com/?page_id=88,"SacAnime is the show where ""Fans Come to Play"". Our philosophy has always been to provide fun, safe, family friendly environment, with top shelf entertainment at a reasonable price.",Anime
San Japan,Henry B. Gonzalez Convention Center / San Antonio Grand Hyatt Hotel,San Antonio,TX,USA,2016-09-02,2016-09-04,29.421484,-98.486348,"
$40 through Nov 2, 2015
$45 through Jan 4
$50 through Apr 17
$54.75 through Jul 17",,http://san-japan.org/,http://sanjapan9.reg-it.org/index.php?cart_id=2568AGJSVZaeipty,"San Japan is San Antonio, Texas largest anime convention. Located at the heart of the famous San Antonio River Walk we will be taking place at the Henry B. Gonzalez Convention Center, San Antonio Grand Hyatt Hotel and Marriott Riverwalk Hotel. We bring a wide variety of Japanese animation, culture, and unique fandoms all together for 3 days of continuous events. With over 18,400 unique attendees in 2015 we expect this to be our biggest event to date. This will be taking place on Labor Day weekend.",Anime
Dragon Con,"Atlanta Marriott Marquis, Hyatt Regency Atlanta, Atlanta Hilton, Sheraton Atlanta, Westin Peachtree Plaza",Atlanta,GA,USA,2016-09-02,2016-09-05,33.761497,-84.385117,,,http://dragoncon.org/,http://store.dragoncon.org/index.php?main_page=product_info&cPath=26&products_id=848,"Dragon Con is the largest multi-media, popular culture convention focusing on science fiction and fantasy, gaming, comics, literature, art, music, and film in the US.",Anime
Saboten Con,Sheraton Grand Phoenix,Phoenix,AZ,USA,2016-09-02,2016-09-05,33.4522994,-112.0715453,"
$37.50 through Mar 16
$40 + fees through May 5
$45 + fees through Jul 4
$50 + fees","
All 4 days: $55",http://www.sabotencon.com/,http://www.sabotencon.com/memberships/index.html,"Saboten Con is an American anime convention held in Phoenix, Arizona and organized by Monkey Paw Entertainment. The convention is held on Labor Day weekend and lasts for 4 days (Fri-Mon). It is currently hosted at the Sheraton Downtown Phoenix. Saboten Con is the largest anime convention in Arizona with attendance reaching 6,745 (unique) / 20,983 (turnstile) for the 2015 event",Anime
Nikko Con,Bradenton Area Convention Center,Palmetto,FL,USA,2016-09-03,2016-09-003,27.5151081,-82.5616857,"
$25","
$30",http://www.nikkocon.com/,http://www.eventbrite.com/e/nikko-con-tickets-25449782986,"Nikko Con will soon be the FIRST Anime convention to come to the Southwest Florida Area! 

Fulfill your inner Otaku and learn more about this growing Genre.
Our goal is to educate the American public on Japanese Anime & Manga culture.",Anime
Midoricon,Maumee Bay Lodge and Conference Center,Oregon,OH,USA,2016-09-09,2016-09-11,41.685587,-83.368469,"
$36.87 through Feb 28
$41.99 through Apr 30
$47.12 through Jul 30
$52.24 through Aug 31","
All 3 days: $55
Fri: $30
Sat: $35
Sun: $20",http://midoricon.com/,http://www.eventbrite.com/e/midoricon-2016-tickets-20095787040?utm-medium=discovery&utm-campaign=social&utm-content=attendeeshare&utm-source=cp&utm-term=listing,"Midoricon's mission is to inspire our attendees to be heroes.
We truly believe there is hero potential in you and can't wait to see it. Opportunities for bravery abound, inspired by fandoms you love: chilling events, competitive adventures, new things to learn or teach, even taking the chance to talk to new folks - everybody has their own level of experience to grow, and we're here for you.
We want you to feel like you belong, to believe you have untold power inside you, and to uniquely enjoy some of your fandoms. We want everyone who participates in Midoricon to realize that they have the ability to change their own world and do things they've never done before. We'll even provide you with fun, eco-friendly ways to really help save the planet.",Anime
Umicon Daytona,Ocean Center,Daytona Beach,FL,USA,2016-09-09,2016-09-11,29.2284828,-81.0110436,,,http://www.umicondaytona.com/,,"Umicon Daytona is an anime, gaming and comics convention right on beautiful Daytona Beach.The main purpose of Umicon is to celebrate and promote American and Japanese video gaming, Japanese animation also known as anime, manga which are Japanese graphic novels, cosplay which is the act of creating and modeling costumes based on characters from Japanese and American media, and the melding of Japanese and American pop-culture. The staff of Umicon Daytona attend and volunteer at many conventions around Florida. We realized one day that there is a need for a convention for this culture in the eastern part of central Florida, and what place is better than Daytona Beach? We decided that it was time to combine the beauty of this art-based culture with the beauty of the beach!",Anime
Animate! Florida,Fort Lauderdale Convention Center,Fort Lauderdale,FL,USA,2016-09-16,2016-09-18,26.0984014,-80.1238415,"
$51.05 through Apr 15
$55 + fees through Jun 15
$60 + fees through Aug 15
$70 + fees through Sep 18","
All 3 days: $70
Fri: $35
Sat: $40
Sun: $35",http://animateflorida.com/,https://register.growtix.com/e/animate_florida,"Florida's Largest Anime Convention, ANIMATE FLORIDA returns SEPTEMBER 16-18, 2016 to our NEW home at the Greater Fort Lauderdale Convention Center. Animate Florida is a three day celebration of Anime, Animation, Cosplay, Video Games, and Comic Books with some of the biggest names in the animation and anime industries, world-famous cosplayers, comedians, entertainers, and much more! There will be hundreds of events, such as celebrity Q&As;, costume contests, video games, comedy shows, exhibitors, and artists!",Anime
Yaoi-Con,Hyatt Regency San Francisco Airport,Burlingame,CA,USA,2016-09-16,2016-09-18,37.593742,-122.364875,,,http://www.yaoicon.com/,,"YaoiCon is a one-of-a-kind 18+ convention for fans of all things yaoi. Founded in 2001, YaoiCon has been delighting attendees since with unique programming and a fan-centric atmosphere.",Anime
Animara Con,Delta Hotel and Conference Center,Sherbrooke,QC,Canada,2016-09-17,2016-09-18,45.39938,-71.940188,"
$25 through Jul 31","
Both days: $35
Sat: $25
Sun: $20",http://animaracon.com/,http://www.animaracon.com/registration.php,"Animara Con is a convention focusing on cosplay, anime and gaming. We are now at our third edition, which will be held on September 17th and 18th, 2016 at the Delta Hotel in Sherbrooke, Quebec.",Anime
J1-Con,820 Spring Garden Street,Philadelphia,PA,USA,2016-09-17,2016-09-18,39.9611266,-75.1532496,"
$43.19 through Sep 14","
Both days: $50
Sat: $40
Sun: $30",http://j1con.com/,http://j1con.com/registration/,"Welcome to J1-Con - Philadelphia's #1 Anime Convention! Are you a fan of Attack on Titan, Pokemon, or Space Dandy? How about more classic anime, like Neon Genesis Evangelion or Ninja Scroll? Not into anime? That's cool too! We've got comics, gaming, and so many other amazing things it could make your head melt a la Indiana Jones. So what are you waiting for?
This is a convention held by nerds for nerds. So what are you waiting for. Hosted by J1 Studios (who most famously created Super Bounty J1, Lime Rind: The Rogue Samurai, Silver, Defenders, and Angel Savior), this is a convention held by fans for fans.",Anime
JapanFest Atlanta Anime Village,Infinite Energy Center,Duluth,GA,USA,2016-09-17,2016-09-18,33.9915581,-84.0951238,"
$18","
Both days: $18
Sat: $10
Sun: $10",http://www.japanfest.org/#!anime-village/b2jw1,http://www.japanfest.org/#!tickets/cq53,"Enjoy Anime Village at JapanFest. JapanFest is partnering with MomoCon, the fastest-growing anime convention in the U.S., for a new Anime Village. You can enjoy shopping for all types of anime products and Japanese snacks and drinks, video games, cosplay events, J-Pop music, Anime viewing and much more! If you are interested in learning about Japan where Anime was born, you can also visit JapanFest exhibits. See Samurai and Ninja performances, try some Japanese festival games, eat Japanese food, purchase some Japanese gifts and keepsakes, meet Domo-kun and get the best of the both worlds of Anime and Japan!",Anime
Anime Fargo,Baymont Inn and Suites Fargo,Fargo,ND,USA,2016-09-23,2016-09-25,46.8625238,-96.8340639,"
$30",,http://www.animefargo.org/,http://www.animefargo.org/convention-registration/,"Anime Fargo was started by a bunch of friends in 2013 that got together and decided to do something great for the fans living in North Dakota, Minnesota, South Dakota, and beyond! Our inaugural convention was held Sept. 26-28 in 2014 and we plan on continuing this for years to come. We want to create a fantastic experience for convention goers with a variety of activities. We are not for profit as well - we're putting on Anime Fargo because we as anime fans wanted something we could enjoy in the area, and we hope you come enjoy it with us too!",Anime
FandomVerse Expo,Pioneer Event Center,Lancaster,CA,USA,2016-09-23,2016-09-25,34.700045,-118.174176,,,http://fandomverseexpo.com/,,"It's more than a convention, its a philosophy!
Yes we know that sounds a little silly, but its this idea that being a fan means more.

Fandom, the term itself has more meaning than could possibly be covered in a brief description. But above all we like to think it means community. Where we can come together with those who share our love of characters, stories and ideas. No matter if we're celebrating a new release, mourning (or cheering) a character death, watching ship wars rage endlessly over the internet, or just sitting back taking in the show, fandom is an experience made all the better when it's shared.

Our goal with this convention is to enlighten, inform and entertain while celebrating all areas of fandom: Anime, Comics, Sci-Fi, Horror, Fantasy, Gaming, Costuming and more.

So come and join us in indulging in all that fandom can offer!",Anime
Nerd & Tie Expo,The Plaza Hotel and Suites,Eau Claire,WI,USA,2016-09-23,2016-09-25,44.7942349,-91.520037,"
$30 through Aug 28","
All 3 days: $40",http://expo.nerdandtie.com/,http://expo.nerdandtie.com/attendees/,"The Nerd & Tie Expo aims to be the Chippewa Valley's cornerstone geek event. Celebrating science fiction, anime, comics, webcomics, tabletop games, and video gaming, it's three days of condensed awesomeness. Run by the minds behind Nerd & Tie, the midwest's best source for geek and convention news.",Anime
